main_app-1  | 2026-07-15 08:23:11,973 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:28:11 EEST)" (scheduled at 2026-07-15 11:23:11.963649+03:00)
main_app-1  | 2026-07-15 08:23:11,974 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 08:23:11,980 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 0
main_app-1  | 2026-07-15 08:23:11,980 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:28:11 EEST)" executed successfully
main_app-1  | 2026-07-15 08:28:11,973 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:33:11 EEST)" (scheduled at 2026-07-15 11:28:11.963649+03:00)
main_app-1  | 2026-07-15 08:28:11,974 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 08:28:11,980 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 0
main_app-1  | 2026-07-15 08:28:11,980 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:33:11 EEST)" executed successfully
main_app-1  | 2026-07-15 08:33:11,972 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:38:11 EEST)" (scheduled at 2026-07-15 11:33:11.963649+03:00)
main_app-1  | 2026-07-15 08:33:11,972 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 08:33:11,977 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 0
main_app-1  | 2026-07-15 08:33:11,977 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:38:11 EEST)" executed successfully
main_app-1  | 2026-07-15 08:38:11,971 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:43:11 EEST)" (scheduled at 2026-07-15 11:38:11.963649+03:00)
main_app-1  | 2026-07-15 08:38:11,972 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 08:38:11,976 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 0
main_app-1  | 2026-07-15 08:38:11,976 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:43:11 EEST)" executed successfully
main_app-1  | 2026-07-15 08:43:11,970 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:48:11 EEST)" (scheduled at 2026-07-15 11:43:11.963649+03:00)
main_app-1  | 2026-07-15 08:43:11,970 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 08:43:11,975 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 0
main_app-1  | 2026-07-15 08:43:11,975 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:48:11 EEST)" executed successfully
main_app-1  | 2026-07-15 08:48:11,970 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 11:53:11 EEST)" (scheduled at 2026-07-15 11:48:11.963649+03:00)
main_app-1  | 2026-07-15 08:48:11,970 - bot.scheduler - INFO - Running scheduled post monitoring...
